_id,lat,lon
,43.02345657,-83.69644928
,42.98602787081897,-83.73373681244502
,43.02284241,-83.6967926
,43.01536179,-83.69698334
,43.17714691,-83.75698853
,43.03036499,-83.3229599
,43.02941132,-83.32291412
,43.57671356,-83.88027191
,43.57772446,-83.8802948
,43.57300568,-83.8813324
,43.5801506,-83.88092041
,43.58322525,-83.94850922
,43.58439255,-83.9484787
,43.57964325,-83.94863129
,43.58082962,-83.94857788
,43.58202362,-83.94854736
,43.59395599,-83.84314728
,43.04867935,-83.29075623
,43.04854202,-83.2904129
,43.04853821,-83.29043579
,43.04838181,-83.29004669
,43.01549149,-83.16396332
,43.02344513,-83.69116211
,43.01974869,-83.70035553
,42.98602787081897,-83.73373681244502
,43.0234375,-83.69193268
,43.06072617,-83.74941254
,43.32939911,-83.85668945
,43.33064651,-83.85790253
,43.32889938,-83.85618591
,43.00205994,-83.77255249
,42.98602787081897,-83.73373681244502
,43.00297546,-83.7672348
,43.06066895,-83.77266693
,43.06061554,-83.77481842
,43.06064606,-83.77372742
,43.06065369,-83.77267456
,43.01685333,-83.6171875
,43.01647186,-83.61821747
,43.06046295,-83.73334503
,43.05389404,-83.67111206
,43.05970383,-83.31922913
,43.05830383,-83.31915283
,43.0582428,-83.31913757
,43.06001663,-83.31924438
,43.05912781,-83.31917572
,43.06050491,-83.31926727
,43.06025696,-83.31923676
,43.01403427,-83.63715363
,43.01383972,-83.63500214
,43.01384735,-83.63423157
,43.00314331,-83.74999237
,43.05830383,-83.31915283
,43.05970383,-83.31922913
,43.0579834,-83.31912231
,43.06077194,-83.31929779
,43.02321243,-83.69494629
,43.02304459,-83.69678497
,42.986275421247285,-83.73408876987102
,43.02312851,-83.69561768
,43.17724228,-83.75688171
,44.96561813,-93.24655151
,44.96572876,-93.24682617
,44.9654007,-93.24600983
,44.28037262,-85.16955566
,42.97989655,-83.74855042
,43.01653671,-83.57044983
,42.98639841210684,-83.73425201236505
,43.01649475,-83.57045746
,42.98716736,-83.72332001
,42.98731995,-83.72252655
,43.01529694,-83.69681549
,43.01223755,-83.81254578
,43.01226044,-83.81254578
,43.01222992,-83.81259155
,43.0007782,-83.69325256
,44.60213852,-79.45317078
,43.05198669,-83.66556549
,43.05166626,-83.66455078
,43.06151962,-83.68439484
,43.0233345,-83.69674683
,43.02381134,-83.69763947
,42.986627069617015,-83.7345398599767
,43.02408218,-83.69734955
,43.02317047,-83.69525909
,43.02301025,-83.69570923
,43.0230484,-83.69561768
,43.02312088,-83.6951828
,43.02313995,-83.69524384
,43.0230484,-83.69587708
