id,lat,lon
,42.978685318300485,-83.67353766436405
,42.978685318300485,-83.67353766436405
,42.978685318300485,-83.67353766436405
,42.978685318300485,-83.67353766436405
,42.97877736226436,-83.6734711202037
,42.97882699966596,-83.67347737338076
,42.97882699966596,-83.67347737338076
,42.97882699966596,-83.67347737338076
,42.97882754631112,-83.67347574808545
,42.97883008225484,-83.67347368313978
,42.97883008225484,-83.67347368313978
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.97883292384172,-83.67347230020403
,42.978840139293695,-83.67345529397883
,42.978858583531206,-83.67344659234024
,42.978858583531206,-83.67344659234024
,42.97899161770373,-83.67358124898333
,42.97900307629933,-83.67359585652845
,42.9790209807872,-83.6736296259716
,42.979610025826034,-83.67380196498462
,42.979610025826034,-83.67380196498462
,42.979610025826034,-83.67380196498462
,42.97986910050216,-83.67386343524852
,42.98073484627414,-83.67410841627176
,42.98073484627414,-83.67410841627176
,42.981731991541714,-83.67435976192606
,42.981731991541714,-83.67435976192606
,42.98492024176636,-83.67513330226477
,42.98492024176636,-83.67513330226477
,42.98611272271186,-83.67543759996252
,42.98611272271186,-83.67543759996252
,42.9872985587874,-83.67571838212596
,42.9872985587874,-83.67571838212596
,42.988277541225244,-83.67594327699105
,42.98877369156646,-83.6760750756343
,42.98877369156646,-83.6760750756343
,42.98877369156646,-83.6760750756343
,42.98878221914969,-83.67606484490953
,42.98878221914969,-83.67606484490953
,42.98878513897621,-83.6760647269803
,42.988785982343,-83.67606492831501
,42.988785982343,-83.67606492831501
,42.9887857218847,-83.67606493528841
,43.00315491777162,-83.67790029576138
,43.00531681106998,-83.6800980251003
,43.005450703246105,-83.68024668387623
,43.00551097505838,-83.68031536363554
,43.005555082694585,-83.6803667153173
,43.00646683671281,-83.68135910236701
,43.00729784992926,-83.68225547403608
,43.00833652061514,-83.68339650449518
,43.00833652061514,-83.68339650449518
,43.009059455671625,-83.68419090689744
,43.011611061462176,-83.68698066525106
,43.012554369326935,-83.68786538074603
,43.013748525235584,-83.68884715047328
,43.01391222705152,-83.68899307046819
,43.01536380736222,-83.690225166935
,43.01536380736222,-83.690225166935
,43.01685308648155,-83.69147491177694
,43.020825618822506,-83.69488166478482
,43.020825618822506,-83.69488166478482
,43.02082057575396,-83.6948726028706
,43.02081894111518,-83.69486675423695
,43.02082256405156,-83.69486502492265
,43.01649711548084,-83.68811082610797
,43.021543566841835,-83.69547405679192
,43.021543566841835,-83.69547405679192
,43.021543566841835,-83.69547405679192
,43.021543566841835,-83.69547405679192
,43.021543566841835,-83.69547405679192
,43.0223662330654,-83.69617020359301
,43.01649711548084,-83.68811082610797
,43.01649711548084,-83.68811082610797
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.022690436620934,-83.69740302455189
,43.02253347962507,-83.6973624089529
,43.02253347962507,-83.6973624089529
,43.02253347962507,-83.6973624089529
,43.021945647495265,-83.69718106889985
,43.021945647495265,-83.69718106889985
,43.021945647495265,-83.69718106889985
,43.021945647495265,-83.69718106889985
,43.02189239848547,-83.69720645592227
,43.02189239848547,-83.69720645592227
,43.02189239848547,-83.69720645592227
,43.02189239848547,-83.69720645592227
,43.02189239848547,-83.69720645592227
,43.02189239848547,-83.69720645592227
,43.02189239848547,-83.69720645592227
,43.02183655202312,-83.69723405113037
,43.02183655202312,-83.69723405113037
,43.0217812303455,-83.69725301558753
,43.0217812303455,-83.69725301558753
,43.0217812303455,-83.69725301558753
,43.02176808406076,-83.69725506914187
,43.02143963966594,-83.69705972320429
,43.021112085942285,-83.69689210893348
,43.021112085942285,-83.69689210893348
,43.021069307113166,-83.69688384405266
,43.021069307113166,-83.69688384405266
,43.021069307113166,-83.69688384405266
,43.021054719422,-83.69688385086695
,43.021054719422,-83.69688385086695
,43.021054719422,-83.69688385086695
,43.021025635916786,-83.69688542055422
,43.021025635916786,-83.69688542055422
,43.021025635916786,-83.69688542055422
,43.02099862791326,-83.69688213200432
,43.020985289087704,-83.69687814883702
,43.020985289087704,-83.69687814883702
,43.020985289087704,-83.69687814883702
,43.02096068120454,-83.69686141231122
,43.02096068120454,-83.69686141231122
,43.02096068120454,-83.69686141231122
,43.02096068120454,-83.69686141231122
,43.020948927367286,-83.69685052510367
,43.020948927367286,-83.69685052510367
,43.02111957484034,-83.69658471698428
,43.02111957484034,-83.69658471698428
,43.02106360399569,-83.69679573178394
,43.020948239298534,-83.69685064269173
,43.02089641445772,-83.69685360006466
,43.02089603188423,-83.69685299483008
