_id,lat,lon,address
,43.05166626,-83.66455078,"4043 North Dort Highway, Flint, Michigan 48506, United States"
,43.06151962,-83.68439484,"5309 Selby Street, Flint, Michigan 48505, United States"
,43.0233345,-83.69674683,"810 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,43.02381134,-83.69763947,"905 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,42.986627069617015,-83.7345398599767,"I 75, Flint, Michigan 48601, United States"
,43.02408218,-83.69734955,"912 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,43.02317047,-83.69525909,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.02301025,-83.69570923,"812 Root Street, Flint, Michigan 48503, United States"
,43.0230484,-83.69561768,"812 Root Street, Flint, Michigan 48503, United States"
,43.02312088,-83.6951828,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.02313995,-83.69524384,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.0230484,-83.69587708,"815 Root Street, Flint, Michigan 48503, United States"
,43.02321625,-83.69644165,"804 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,43.02328873,-83.69670105,"810 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,43.02381134,-83.69763947,"905 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,43.02400208,-83.69638062,"907 Root Street, Flint, Michigan 48503, United States"
,42.98711355257599,-83.73512810022085,"I 75, Flint, Michigan 48601, United States"
,43.02318192,-83.69527435,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.02301025,-83.69570923,"812 Root Street, Flint, Michigan 48503, United States"
,43.0230484,-83.69587708,"815 Root Street, Flint, Michigan 48503, United States"
,43.02313995,-83.69562531,"812 Root Street, Flint, Michigan 48503, United States"
,43.02310181,-83.69535065,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.02312088,-83.6951828,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.0230484,-83.69561768,"812 Root Street, Flint, Michigan 48503, United States"
,43.02313995,-83.69524384,"609 East Fifth Avenue, Flint, Michigan 48503, United States"
,43.02321625,-83.69644165,"804 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
,42.9825058,-83.77401733,"3192 Linden Road, Flint, Michigan 48507, United States"
,42.98239136,-83.77381134,"3192 Linden Road, Flint, Michigan 48507, United States"
,43.17737198,-83.75682068,"4073 West Vienna Road, Clio, Michigan 48420, United States"
,43.17742157,-83.75569916,"4041 West Vienna Road, Clio, Michigan 48420, United States"
,43.17741394,-83.74951935,"3400 West Vienna Road, Clio, Michigan 48420, United States"
,43.1771965,-83.75694275,"4073 West Vienna Road, Clio, Michigan 48420, United States"
,43.17738724,-83.74858856,"3365 West Vienna Road, Clio, Michigan 48420, United States"
,43.17720032,-83.75694275,"4073 West Vienna Road, Clio, Michigan 48420, United States"
,43.17886734,-83.73669434,"217 Center Street, Clio, Michigan 48420, United States"
,43.19143295,-83.72502899,"12572 North Saginaw Road, Clio, Michigan 48420, United States"
,42.98711355257599,-83.73512810022085,"I 75, Flint, Michigan 48601, United States"
,43.19041443,-83.72425079,"2255 Hayward Drive, Clio, Michigan 48420, United States"
,43.14817429,-83.73402405,"2490 Dodge Road, Clio, Michigan 48420, United States"
,43.14817429,-83.73527527,"3042 Dodge Road, Clio, Michigan 48420, United States"
,43.14818954,-83.73656464,"3058 Dodge Road, Clio, Michigan 48420, United States"
