bssid,lat,lon,address
65:29:95:BC:C3:0D,43.023460136852066,-83.69686301871819,"814 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
64:FF:66:F3:D8:97,42.981461870403514,-83.75930482717273,"4200 Miller Road, Flint, Michigan 48507, United States"
E8:F7:75:69:20:88,42.981429455321006,-83.75661634275399,"4141 Miller Road, Flint, Michigan 48507, United States"
FA:D2:AC:C7:1E:38,43.03329644705781,-83.69397182020148,"1817 North Saginaw Street, Flint, Michigan 48505, United States"
E8:20:20:05:91:E7,42.983764073333084,-83.74841401001673,"3515 Miller Road, Flint, Michigan 48503, United States"
70:24:16:0D:72:48,42.981381520395054,-83.75660379641688,"4141 Miller Road, Flint, Michigan 48507, United States"
18:A5:FF:21:AF:A7,43.01390815683104,-83.6868283186412,"119 East Fourth Street, Flint, Michigan 48502, United States"
F3:00:33:98:F6:C1,42.98156140635428,-83.75674349440253,"4141 Miller Road, Flint, Michigan 48507, United States"
FB:BF:9D:69:7C:E3,43.02140911616424,-83.70424565714842,"1 Hurley Plaza, Flint, Michigan 48503, United States"
65:C3:14:93:A1:8C,42.9814618757024,-83.75930482075314,"4200 Miller Road, Flint, Michigan 48507, United States"
18:A5:03:28:AF:A7,43.01390436398469,-83.68686552245372,"119 East Fourth Street, Flint, Michigan 48502, United States"
61:6D:1B:82:DD:FD,43.0234672200314,-83.69675943986903,"814 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
68:B3:36:F4:18:E5,43.02347833333332,-83.69677833333333,"814 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
70:1C:E7:8A:B3:B5,42.98141308688304,-83.75931695224592,"4200 Miller Road, Flint, Michigan 48507, United States"
5F:DC:1B:F3:6F:E3,42.98146187244344,-83.7593048255142,"4200 Miller Road, Flint, Michigan 48507, United States"
68:66:31:87:2D:33,42.981525521362045,-83.75670761994574,"4141 Miller Road, Flint, Michigan 48507, United States"
62:22:32:1D:A2:52,43.00958118136476,-83.6847034284883,"1273 Saginaw Street, Flint, Michigan 48502, United States"
66:14:03:8A:71:C8,43.024044258271395,-83.6918933626309,"877 E 5th Ave Wind Mill St, Flint, Michigan 48503, United States"
71:FF:D7:4B:FF:DE,43.023460312840434,-83.6968626259655,"814 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
44:02:62:15:D8:40,43.017618788210314,-83.69246096194667,"West Union Street, Flint, Michigan 48502, United States"
43:F6:B1:A7:7F:87,42.98157377458901,-83.75953017257336,"4200 Miller Road, Flint, Michigan 48507, United States"
65:59:AD:9B:FC:EE,43.02329928614946,-83.69511635013224,"901 Chippewa Street, Flint, Michigan 48503, United States"
6E:39:65:C8:6E:8F,42.981461870870426,-83.75930482471786,"4200 Miller Road, Flint, Michigan 48507, United States"
F0:70:C2:78:D1:A0,42.98404917417816,-83.74924139433082,"3515 Miller Road, Flint, Michigan 48503, United States"
66:D5:A9:B4:B7:FA,43.023470672335,-83.6968509202514,"814 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
EF:94:97:11:F2:66,43.01616728247259,-83.68906236305656,"626 Harrison Street, Flint, Michigan 48502, United States"
43:78:81:65:7D:E4,42.98069494831815,-83.76107337676318,"4240 Miller Road, Flint, Michigan 48507, United States"
FB:7D:DE:C2:AA:CC,42.98143103339863,-83.75661766290516,"4141 Miller Road, Flint, Michigan 48507, United States"
5E:AD:48:81:2E:A8,42.98837788078152,-83.74057440025133,"3243 Miller Road, Flint, Michigan 48503, United States"
67:E9:AB:C3:46:D8,42.98154678069932,-83.75938324861629,"4200 Miller Road, Flint, Michigan 48507, United States"
42:1E:59:87:69:4C,42.98146185557181,-83.75930483946796,"4200 Miller Road, Flint, Michigan 48507, United States"
EC:61:E2:89:94:9C,42.981461881023115,-83.75930481702731,"4200 Miller Road, Flint, Michigan 48507, United States"
67:3B:55:7C:50:55,42.98146186033093,-83.7593048355432,"4200 Miller Road, Flint, Michigan 48507, United States"
44:F1:F6:57:7D:C3,42.98146187422969,-83.7593048238977,"4200 Miller Road, Flint, Michigan 48507, United States"
43:FC:6C:AC:BA:4F,43.02357720744501,-83.69669540272609,"818 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
61:0D:E7:AF:D7:77,42.9815644501471,-83.75952710844226,"4200 Miller Road, Flint, Michigan 48507, United States"
70:90:41:7B:D1:15,43.01581225448623,-83.6886771820475,"626 Harrison Street, Flint, Michigan 48502, United States"
70:90:41:7B:94:16,43.0158482702305,-83.68871087065871,"626 Harrison Street, Flint, Michigan 48502, United States"
66:FF:0A:97:AA:EC,43.02344442307554,-83.69685253028705,"814 Martin Luther King Jr Avenue, Flint, Michigan 48503, United States"
42:75:C3:47:03:57,43.01434264864729,-83.68554916074025,"314 East Fourth Street, Flint, Michigan 48502, United States"
